nro_sicop,nro_acto,fecha_adj_firme,cedula_institucion,fecha_publicacion,fecha_inicio_recepcion,fecha_cierre_recepcion,fecha_apertura,nro_procedimiento,tipo_procedimiento,modalidad_procedimiento,descripcion,total_procedimiento,duracion
20230200428,833534,2023-02-16 18:16:18,4000004017,2023-02-10 09:17:28.000,2023-02-10 09:20:00.000,2023-02-15 10:00:00,2023-02-15 10:00:00.000,2023PX-000033-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Cantidad definida,"SE REQUIERE INSCRIBIR 2 FUNCIONARIOS DE LA DIVISIÓN GESTIÓN ACTIVOS YPASIVOS, EN ACTIVIDAD DE CAPACITACIÓN (FORMATO ON-LINE), AMPARADA EN LADECISIÓN I",218280.0,1
20230300247,836311,2023-03-06 12:51:40,4000004017,2023-03-02 17:46:47.000,2023-03-02 17:48:00.000,2023-03-06 10:00:00,2023-03-06 10:00:00.000,2023PX-000054-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,Inscripción a 5 funcionarios de la Sugese:1. Andrea Carranza2. Kattya Bogantes3. Ana Cecilia Castro4. María de los Ángeles Cambronero5. Ligia Durán Mo,765000.0,0
20230201566,835891,2023-03-03 08:34:17,4000004017,2023-02-27 16:09:16.000,2023-02-27 16:15:00.000,2023-03-02 10:00:00,2023-03-02 10:00:00.000,2023PX-000050-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Cantidad definida,"SE REQUIERE INSCRIBIR 1 FUNCIONARIA DE LA DIVISIÓN SISTEMAS DE PAGO ENACTIVIDAD DE CAPACITACIÓN (FORMATO VIRTUAL), AMPARADA EN LA DECISIÓNINICIAL DI-0",91800.0,0
20230301392,840622,2023-03-27 13:32:29,4000004017,2023-03-17 10:06:09.000,2023-03-17 10:30:00.000,2023-03-24 10:30:00,2023-03-24 10:30:00.000,2023PX-000064-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,Inscripción curso: Análisis de datos en Microsoft Power BI nivel básico – intermedio,408000.0,3
20230302152,841318,2023-03-28 22:00:32,4000004017,2023-03-24 08:12:06.000,2023-03-24 09:00:00.000,2023-03-28 09:00:00,2023-03-28 09:00:00.000,2023PX-000074-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,"Inscripción: El compromiso en el liderazgo, un diferenciador en los equipos de alta dirección",6426875.0,0
20230200426,833526,2023-02-16 18:15:11,4000004017,2023-02-10 09:13:15.000,2023-02-10 09:15:00.000,2023-02-15 10:00:00,2023-02-15 10:00:00.000,2023PX-000032-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Cantidad definida,"SE REQUIERE INSCRIBIR 2 FUNCIONARIOS DE LA DIVISIÓN SISTEMAS DE PAGO, ENACTIVIDAD DE CAPACITACIÓN (FORMATO ON-LINE), AMPARADA EN LA DECISIÓNINICIAL DI",336600.0,1
20230201559,835880,2023-03-03 08:33:12,4000004017,2023-02-27 16:00:13.000,2023-02-27 16:00:00.000,2023-03-02 10:00:00,2023-03-02 10:00:00.000,2023PX-000049-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Cantidad definida,"SE REQUIERE INSCRIBIR 7 FUNCIONARIOS DE LA DIVISIÓN ASESORÍA JURÍDICA ENACTIVIDAD DE CAPACITACIÓN (FORMATO VIRTUAL), AMPARADA EN LA DECISIÓNINICIAL DI",635460.0,0
20230302353,842673,2023-04-11 08:30:35,4000004017,2023-03-27 15:47:35.000,2023-03-27 15:50:00.000,2023-03-30 10:00:00,2023-03-30 10:00:00.000,2023PX-000078-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Cantidad definida,Inscripción de funcionarios en el curso Desarrollo de habilidades de liderazgo,11390891.82,11
20230502779,874567,2023-07-14 11:06:36,4000004017,2023-05-26 12:40:00.000,2023-05-26 13:00:00.000,2023-06-09 13:00:00,2023-06-09 13:00:00.000,2023LE-000012-0004900001,LICITACIÓN MENOR,Cantidad definida,Compra de Switches para la red de almacenamiento BCCR,104459112.0,34
20230601251,865885,2023-06-19 16:39:12,4000004017,2023-06-09 17:47:47.000,2023-06-12 10:00:00.000,2023-06-14 10:00:00,2023-06-14 10:00:00.000,2023PX-000152-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,Inscripción en actividad de capacitación Webinar Innovación 4.0 & Transformación Digital.,709920.0,5
